text: Vilis Lamb, Mint and Rosemary Pies 160g 	sent:0	vilis lamb, mint and rosemary pies 160g	[pie|NP][pies|NP][mint|NP][rosemary|NP][lamb|NP]
text:King Soopers Recalls Gourmet Bread Pudding Due to Undeclared Allergens	sent:0	king soopers recalls gourmet bread pudding due to undeclared allergens	[pudding|NP][recall|VP][due|ADJP][allergens|NP][undeclared|ADJP][bread|NP][gourmet|NP][king|NP][recalls|VP]
text:King Soopers and City Market Recalls Deli Broccoli Salads and Coleslaw Because of Possible Health Risk	sent:0	king soopers and city market recalls deli broccoli salads and coleslaw because of possible health risk	[salads|NP][recall|VP][possible|ADJP][salad|NP][risk|NP][broccoli|NP][market|NP][coleslaw|NP][city|NP][deli|NP][health|NP][king|NP][recalls|VP]
text:King's Command Foods, LLC. Recalls Beef Products Due To Possible Foreign Matter Contamination	sent:0	king's command foods, llc. recalls beef products due to possible foreign matter contamination	[llc|NP][recall|VP][foreign|ADJP][due|ADJP][beef products|NP][possible|ADJP][beef|NP][product|NP][products|NP][contamination|NP][foods|NP][command|NP][beef products|NP][king|NP][recalls|VP]
text:King's Command Foods, LLC. Recalls Meat and Poultry Meatballs and Pork Pattie Products Due to Misbranding and Undeclared Allergens	sent:0	king's command foods, llc. recalls meat and poultry meatballs and pork pattie products due to misbranding and undeclared allergens	[llc|NP][pork|NP][meatballs|NP][due|ADJP][pattie|NP][recall|VP][poultry|NP][product|NP][meat|NP][allergens|NP][products|NP][foods|NP][misbranding|ADJP][command|NP][undeclared|ADJP][meatball|NP][king|NP][recalls|VP]
text:King's Pastry Canada Issues Allergy Alert on Undeclared (Hazelnuts) In Various Cakes	sent:0	king's pastry canada issues allergy alert on undeclared (hazelnuts) in various cakes	[canada|NP][various|ADJP][allergy|NP][cakes|NP][hazelnuts|NP][cake|NP][alert|NP][issues|VP][pastry|NP][issue|VP][undeclared|ADJP][king|NP]
text:Kingston Pharma, LLC Issues Voluntary Recall of All Lots of “DG™ Baby Gripe Water Due to Undissolved Ingredient, Citrus Flavonoid	sent:0	kingston pharma, llc issues voluntary recall of all lots of “dg™ baby gripe water due to undissolved ingredient, citrus flavonoid	[issues|NP][pharma|NP][undissolved|ADJP][recall|NP][due|ADJP][lots|NP][lot|NP][llc|NP][baby|ADJP][dg|NP][gripe water|NP][kingston|NP][issue|NP][ingredient|NP][™|NP][water|NP][flavonoid|ADJP][voluntary|ADJP][voluntary recall|NP][gripe|NP]
text:Kinnerton Confectionary Australia Pty Ltd—Spiderman 3—Ceramic Mug and Egg	sent:0	kinnerton confectionary australia pty ltd—spiderman 3—ceramic mug and egg	[pty|NP][ceramic|ADJP][confectionary|NP][ltd|NP][egg|NP][mug|NP][spiderman|NP][australia|NP]
text:Kirkland Signature brand All Butter Croissants recalled from certain stores due to possible presence of plastic	sent:0	kirkland signature brand all butter croissants recalled from certain stores due to possible presence of plastic	[recall|VP][croissant|NP][brand|NP][certain|ADJP][due|ADJP][signature|NP][plastic|NP][kirkland|ADJP][possible|ADJP][butter|NP][store|NP][recalled|VP][croissants|NP][stores|NP][presence|NP]
text:Kirkland Signature brand Creamy Almond Butter recalled due to rancidity	sent:0	kirkland signature brand creamy almond butter recalled due to rancidity	[recall|VP][brand|NP][due|ADJP][butter|NP][signature|NP][creamy|NP][kirkland|ADJP][rancidity|VP][almond|VP][recalled|VP]
text:Kirkland Signature brand Organic Fortified Soy Beverage Original recalled due to swelling Tetra Pak cartons	sent:0	kirkland signature brand organic fortified soy beverage original recalled due to swelling tetra pak cartons	[recall|VP][brand|NP][fortified|ADJP][due|ADJP][signature|NP][soy|NP][carton|NP][swelling|VP][pak|NP][kirkland|VP][original|NP][recalled|VP][tetra|NP][beverage|NP][swell|VP][organic|ADJP][cartons|NP]
text:Kirkland Signature brand Pepperoni Pizza recalled due to undeclared egg, soy, mustard and wheat	sent:0	kirkland signature brand pepperoni pizza recalled due to undeclared egg, soy, mustard and wheat	[recall|VP][brand|NP][wheat|NP][due|ADJP][signature|NP][egg|NP][soy|NP][pepperoni|NP][mustard|NP][recalled|VP][pizza|NP][kirkland|VP]
text:Kirkland Signature brand roasted chicken salad containing fully cooked sliced chicken breast recalled due to Listeria monocytogenes	sent:0	kirkland signature brand roasted chicken salad containing fully cooked sliced chicken breast recalled due to listeria monocytogenes	[recall|VP][listeria|NP][brand|NP][listeria monocytogenes|NP][slice|ADJP][due|ADJP][signature|NP][containing|VP][contain|VP][kirkland|ADJP][salad|NP][chicken breast|NP][chicken salad|NP][recalled|VP][cook|VP][chicken|NP][breast|NP][sliced|ADJP][listeria monocytogenes|NP][cooked|VP]
text:Kirkland brand Boneless Skinless Chicken Breasts recalled due to off-odour	sent:0	kirkland brand boneless skinless chicken breasts recalled due to off-odour	[recall|VP][breast|NP][brand|NP][due|ADJP][kirkland|ADJP][recalled|VP][chicken|NP][breasts|NP]
text:Kirkland brand Meatloaf with Mashed Potatoes due to undeclared egg and mustard	sent:0	kirkland brand meatloaf with mashed potatoes due to undeclared egg and mustard	[brand|NP][due|ADJP][egg|NP][kirkland|ADJP][mashed potatoes|NP][mashed|ADJP][mash|ADJP][mustard|NP][potato|NP][potatoes|NP][mashed potato|NP][undeclared|ADJP][meatloaf|NP]
text:Kirkland brand and Maple Leaf brand Boneless Skinless Chicken Breasts recalled due to off-odour	sent:0	kirkland brand and maple leaf brand boneless skinless chicken breasts recalled due to off-odour	[recall|VP][breast|NP][brand|NP][leaf|NP][due|ADJP][kirkland|ADJP][maple|ADJP][recalled|VP][chicken|NP][breasts|NP]
text:Kiss Kiss Food Supplies Pty Ltd—Kiss Kiss Pastizzi (Assorted Flavours)	sent:0	kiss kiss food supplies pty ltd—kiss kiss pastizzi (assorted flavours)	[pty|NP][ltd|NP][supplies|NP][pastizzi|NP][supply|NP][assorted|ADJP][food|NP][flavours|NP]
text:Kiwi Care Package Company Recalls Wattie&rsquo s Canned Spaghetti With Sausage Products Distributed Without Benefit Of Import Inspection	sent:0	kiwi care package company recalls wattie&rsquo s canned spaghetti with sausage products distributed without benefit of import inspection	[recall|VP][import|NP][kiwi|NP][benefit|NP][sausage|NP][company|NP][distribute|VP][package|NP][inspection|NP][products|NP][distributed|VP][product|NP][care|NP][spaghetti|NP][recalls|VP]
text:Klement's Sausage Company, Inc. Recalls Beef and Sausage Products Due To Possible Foreign Matter Contamination	sent:0	klement's sausage company, inc. recalls beef and sausage products due to possible foreign matter contamination	[recall|VP][foreign|ADJP][due|ADJP][possible|ADJP][sausage|NP][beef|NP][company|NP][products|NP][contamination|NP][product|NP][recalls|VP]
text:Kmart Australia Ltd — Solid and Filled Egg Bag 360g and Filled Caramel Egg Bag 160g	sent:0	kmart australia ltd — solid and filled egg bag 360g and filled caramel egg bag 160g	[ltd|NP][filled|ADJP][caramel|NP][egg|NP][solid|ADJP][bag|NP][fill|ADJP][australia|NP]
text:Kmart—Boxed Chocolates And Easter Chocolate Items	sent:0	kmart—boxed chocolates and easter chocolate items	[items|NP][item|NP][boxed|ADJP][easter|NP][chocolates|NP][chocolate|NP][chocolate|NP]
text:Knorr Professional Soup du jour brand Red Thai Curry Chicken with Rice Soup Mix recalled due to undeclared milk - Recalls, advisories and safety alerts – Canada.ca	sent:0	knorr professional soup du jour brand red thai curry chicken with rice soup mix recalled due to undeclared milk - recalls, advisories and safety alerts – canada.ca	[brand|NP][milk|NP][professional|ADJP][thai|NP][soup|NP][knorr|NP][recall|VP][due|ADJP][advisories|NP][alerts|NP][recalled|VP][safety|NP][advisory|NP][red|ADJP][alert|NP][curry|NP][chicken|NP][recalls|NP][recall|NP][rice|NP][undeclared|ADJP][mix|NP]
text:Koala Popcorn Pty Ltd—Koala Popcorn Chicken Flavour	sent:0	koala popcorn pty ltd—koala popcorn chicken flavour	[popcorn|NP][pty|NP][ltd|NP][koala|ADJP][flavour|NP][chicken|NP]
text:Koch Foods Recalls Breaded Poultry Products Due to Misbranding and Undeclared Allergens	sent:0	koch foods recalls breaded poultry products due to misbranding and undeclared allergens	[koch|NP][recall|VP][due|ADJP][poultry|NP][product|NP][allergens|NP][products|NP][foods|NP][misbranding|ADJP][undeclared|ADJP][recalls|VP]
text:Kodiak Cakes Issues Allergy Alert on Undeclared Milk in Kodiak Cakes Blueberry Chia Energy Waffles 10.72 oz. Product UPC code is 7 05599 01215 0.	sent:0	kodiak cakes issues allergy alert on undeclared milk in kodiak cakes blueberry chia energy waffles 10.72 oz. product upc code is 7 05599 01215 0.	[product|NP][energy|NP][waffle|NP][code|NP][cakes|NP][kodiak|NP][upc|NP][alert|ADJP][allergy|NP][blueberry|ADJP][undeclared|ADJP][chia|NP][cake|NP][milk|NP][issues|VP][oz|NP][issue|VP][waffles|NP]
text:Koh-kae—Peanuts coconut cream flavour	sent:0	koh-kae—peanuts coconut cream flavour	[cream|NP][coconut|ADJP][peanut|NP][flavour|NP][peanuts|NP]
text:Kokkadens Cakes & Bakes brand Cakes recalled due to undeclared egg	sent:0	kokkadens cakes & bakes brand cakes recalled due to undeclared egg	[recall|VP][brand|NP][due|ADJP][egg|NP][bakes|ADJP][cakes|NP][cake|NP][recalled|VP][undeclared|ADJP]
text:Kongs Trading Pty Ltd — Spring Home TYJ Spring Roll Pastry 250g-550g	sent:0	kongs trading pty ltd — spring home tyj spring roll pastry 250g-550g	[pty|NP][ltd|NP][home|NP][roll|NP][kongs|ADJP][pastry|NP][kong|ADJP][spring|NP]
text:Kooka's Country Cookies—Choc Coated Assorted	sent:0	kooka's country cookies—choc coated assorted	[kooka|NP][choc|ADJP][assorted|NP][coated|ADJP][coat|ADJP][country|NP]
text:Kootenay Co-op brand beef sausages and burgers recalled due to possible presence of pieces of metal and plastic	sent:0	kootenay co-op brand beef sausages and burgers recalled due to possible presence of pieces of metal and plastic	[recall|VP][plastic and metal|NP][brand|NP][due|ADJP][sausages|NP][possible|ADJP][beef|NP][piece|NP][sausage|NP][recalled|VP][metal|NP][plastic|NP][presence|NP][pieces|NP]
text:Korea Connections — Chung Jung One Sunchang Ssamjang Seasoned Bean Paste	sent:0	korea connections — chung jung one sunchang ssamjang seasoned bean paste	[season|ADJP][chung|VP][paste|NP][korea|NP][one|NP][connection|NP][ssamjang|VP][connections|NP][seasoned|ADJP][bean|NP][jung|VP]
text:Korean Foods Pty Ltd — Wellbeing Kimchi 450g, Korean Cabbage Kimchi 450g, Korea Kimchi 2kg, Cabbage Kimchi Bossam 450g and Cabbage Kimchi Bossam 800g	sent:0	korean foods pty ltd — wellbeing kimchi 450g, korean cabbage kimchi 450g, korea kimchi 2kg, cabbage kimchi bossam 450g and cabbage kimchi bossam 800g	[pty|NP][ltd|NP][korea|NP][kg|NP][cabbage|NP][kimchi|NP][foods|NP][korean|ADJP][wellbeing|ADJP]
text:Koryo Food Pickled clams	sent:0	koryo food pickled clams	[food|NP][clams|NP][clam|NP]
text:Koz Worldwide Imports—Ttangkong Kangjung (Peanut Snack)	sent:0	koz worldwide imports—ttangkong kangjung (peanut snack)	[peanut|NP][imports|NP][import|NP][snack|NP][worldwide|ADJP]
text:Kraft Heinz Foods Company Recalls Chef Francisco Soup Product Due to Misbranding and Undeclared Allergens	sent:0	kraft heinz foods company recalls chef francisco soup product due to misbranding and undeclared allergens	[heinz|NP][product|NP][recall|VP][kraft|NP][company|NP][allergens|NP][foods|NP][chef|NP][soup|NP][francisco|NP][undeclared|NP][recalls|VP]
text:Kraft Heinz Foods Company Recalls Turkey Bacon Products Due To Possible Adulteration	sent:0	kraft heinz foods company recalls turkey bacon products due to possible adulteration	[heinz|NP][recall|VP][due|ADJP][turkey|NP][possible|ADJP][kraft|NP][product|NP][company|NP][bacon|NP][products|NP][foods|NP][adulteration|NP][recalls|VP]
text:Kraft Heinz Recalls Ready-To-Eat Lunchables Ham and American Cracker Stackers Product Due to Misbranding and Undeclared Allergens	sent:0	kraft heinz recalls ready-to-eat lunchables ham and american cracker stackers product due to misbranding and undeclared allergens	[heinz|NP][product|NP][recall|VP][cracker|NP][kraft|NP][stackers|NP][stacker|NP][ham|NP][allergens|NP][american|NP][undeclared|NP][recalls|VP]
text:Kraft Heinz Voluntarily Recalls Taco Bell Salsa Con Queso Mild Cheese Dip Distributed to Retailers	sent:0	kraft heinz voluntarily recalls taco bell salsa con queso mild cheese dip distributed to retailers	[mild|ADJP][heinz|NP][recall|VP][cheese dip|NP][kraft|NP][bell|NP][retailers|NP][salsa|NP][dip|NP][distribute|VP][con|NP][queso|NP][cheese|NP][distributed|VP][retailer|NP][taco|ADJP][recalls|VP]
text:Krasnyi Oktyabr USA Inc. Recalls Vobla (Roach) Dry Eviscerated Salted Fish and Bream Dry Eviscerated Salted Fish Due to Possible Health Risk	sent:0	krasnyi oktyabr usa inc. recalls vobla (roach) dry eviscerated salted fish and bream dry eviscerated salted fish due to possible health risk	[fish|NP][recall|VP][eviscerate|ADJP][vobla|NP][possible|ADJP][eviscerated|ADJP][risk|NP][usa|NP][dry|ADJP][bream|NP][salted|VP][roach|NP][due to|VP][salt|VP][due|ADJP][health|NP][recalls|VP]
text:Krishna Food Corp. Recalls Bikaji Chowpati Bhelpuri Because of Possible Health Risk	sent:0	krishna food corp. recalls bikaji chowpati bhelpuri because of possible health risk	[krishna|NP][recall|VP][possible|ADJP][risk|NP][bhelpuri|NP][food|NP][health|NP][recalls|VP]
text:Krispak, Inc. Issues Allergy Alert on Undeclared Treenuts - Pecans In GFS Honey Roasted Peanuts Received From Supplier Trophy Nut Co.	sent:0	krispak, inc. issues allergy alert on undeclared treenuts - pecans in gfs honey roasted peanuts received from supplier trophy nut co.	[issues|NP][receive|VP][allergy|NP][received|VP][supplier|NP][pecans|NP][honey|NP][trophy|NP][peanut|NP][alert|NP][nut|NP][issue|NP][undeclared|ADJP][peanuts|NP]
text:Kroger Delta Division Recalls Cheese Dips Because of Possible Health Risk	sent:0	kroger delta division recalls cheese dips because of possible health risk	[dips|NP][kroger|NP][recall|VP][possible|ADJP][risk|NP][dip|NP][division|NP][cheese|NP][health|NP][delta|NP][recalls|VP]
text:Kroger Expands Recall of 12 oz. packages of Simple Truth Dry Roasted Macadamia Nuts because of Possible Health Risk	sent:0	kroger expands recall of 12 oz. packages of simple truth dry roasted macadamia nuts because of possible health risk	[truth|NP][roast|ADJP][expands|VP][nuts|NP][possible|ADJP][packages|NP][package|NP][oz|NP][macadamia nuts|NP][risk|NP][dry|ADJP][recall|NP][simple|ADJP][roasted|ADJP][simple truth|NP][expand|VP][health|NP][macadamia|NP]
text:Kroger Recalls Broccoli Raisin Salad After Supplier Listeria Concern	sent:0	kroger recalls broccoli raisin salad after supplier listeria concern	[concern|NP][listeria|NP][supplier|NP][recall|VP][kroger|ADJP][salad|NP][recalls|VP][raisin|NP]
text:Kroger Recalls Deluxe S'mores Ice Cream Due to Undeclared Allergens	sent:0	kroger recalls deluxe s'mores ice cream due to undeclared allergens	[cream|NP][recall|VP][due|ADJP][ice cream|NP][undeclared|ADJP][ice cream|NP][allergens|NP][deluxe|ADJP][ice|NP][recalls|VP]
text:Kroger Recalls Sunflower Products after Supplier Listeria Concern	sent:0	kroger recalls sunflower products after supplier listeria concern	[concern|NP][listeria|NP][recall|VP][supplier|NP][sunflower|NP][products|NP][product|NP][kroger|NP][recalls|VP]
text:Krown brand red and yellow onions grown by Thomson International Inc. and imported from the USA recalled due to Salmonella	sent:0	krown brand red and yellow onions grown by thomson international inc. and imported from the usa recalled due to salmonella	[recall|VP][brand|NP][thomson|ADJP][due|ADJP][grown|VP][salmonella|NP][yellow onions|NP][grow|VP][onions|NP][usa|NP][onion|NP][recalled|VP][imported|VP][yellow onion|NP][red|NP][import|VP][international|ADJP][yellow|ADJP]
text:Krunchi Foods recalls three cake rusk products due to incorrect allergen labelling	sent:0	krunchi foods recalls three cake rusk products due to incorrect allergen labelling	[recall|VP][due|ADJP][cake|NP][allergen|NP][product|NP][products|NP][incorrect|ADJP][rusk|NP][foods|NP][labelling|VP][recalls|VP]
text:Kumar's Rendang and Besengek Spice Pastes recalled due to undeclared cashew nuts	sent:0	kumar's rendang and besengek spice pastes recalled due to undeclared cashew nuts	[cashew nut|NP][recall|VP][due|ADJP][rendang|NP][paste|NP][nuts|NP][cashew|NP][recalled|VP][cashew nuts|NP][cashew nuts|NP][pastes|NP][cashew nut|NP][kumar|NP][spice|NP]
text:Kuster's, Inc. Voluntarily Recalls Product Because Of Possible Health Risk	sent:0	kuster's, inc. voluntarily recalls product because of possible health risk	[recall|VP][product recall|VP][possible|ADJP][risk|NP][product|NP][product recalls|VP][kuster|NP][health|NP][recalls|VP]
text:Kwik Trip, Inc. Issues Allergen Alert for Undeclared Fish or Shellfish on Premium Egg Salad Sandwich on Oat Multigrain Bread	sent:0	kwik trip, inc. issues allergen alert for undeclared fish or shellfish on premium egg salad sandwich on oat multigrain bread	[issues|NP][fish|NP][sandwich|NP][shellfish|VP][egg|NP][egg salad sandwich|NP][allergen|NP][salad|NP][multigrain|NP][oat|NP][alert|NP][trip|NP][premium|ADJP][bread|NP][issue|NP][undeclared|ADJP]
text:Kyana Farms—IGA Deli Roast Beef	sent:0	kyana farms—iga deli roast beef	[beef|NP][iga|NP][farm|NP][roast|NP][deli|NP][farms|NP]
text:L & L Foods Recalls Bacon Bits Due to Misbranding and an Undeclared Allergen	sent:0	l & l foods recalls bacon bits due to misbranding and an undeclared allergen	[recall|VP][due|ADJP][allergen|NP][bacon|NP][l|NP][misbranding|NP][bits|NP][foods|NP][undeclared|ADJP][recalls|VP]
text:L&D Market, Inc. Recalls Chicken Wrap Products Due to Misbranding and Undeclared Allergens	sent:0	l&d market, inc. recalls chicken wrap products due to misbranding and undeclared allergens	[recall|VP][due|ADJP][product|NP][wrap|NP][market|NP][allergens|NP][products|NP][chicken|NP][misbranding|ADJP][undeclared|ADJP][l|NP][recalls|VP]
text:L'Artisan Organic Marcel	sent:0	l'artisan organic marcel	[marcel|NP][organic|ADJP]
text:L.A. Lucky Brand Basil Seed 2.1 oz Voluntary Recall Because of Possible Health Risk	sent:0	l.a. lucky brand basil seed 2.1 oz voluntary recall because of possible health risk	[brand|NP][recall|NP][possible|ADJP][health|NP][risk|NP][oz|ADJP][voluntary|ADJP][basil|ADJP][seed|NP][lucky|ADJP]
text:LD&D Australia Pty Ltd — Dairy Choice Full Cream 2L and Community Co 'The Good Drop' Full Cream 2L Milk	sent:0	ld&d australia pty ltd — dairy choice full cream 2l and community co 'the good drop' full cream 2l milk	[pty|NP][cream|NP][co|VP][ltd|NP][drop|NP][milk|NP][2l|ADJP][community|NP][full|ADJP][ld|VP][choice|NP][good|ADJP][australia|NP][dairy|NP]
text:LD&D Australia Pty Ltd — Dairy Farmers Full Cream Milk 1L and 3L	sent:0	ld&d australia pty ltd — dairy farmers full cream milk 1l and 3l	[dairy farmer|NP][cream|NP][1l|NP][australia|NP][dairy farmers|NP][pty|NP][milk|NP][ld|NP][dairy farmers|NP][full|ADJP][farmer|NP][farmers|NP][dairy farmer|NP][ltd|NP][dairy|NP]
text:LIDL GB recalls Alpenfest Pretzel Ice Cream because allergens are not declared in English	sent:0	lidl gb recalls alpenfest pretzel ice cream because allergens are not declared in english	[cream|NP][recall|VP][declared|VP][english|NP][gb|NP][pretzel|ADJP][declare|VP][allergens|NP][ice cream|NP][ice|NP][recalls|VP]
text:LSG Sky Chefs Recalls Circle K Brand Chicken Salad Sandwich Because of Possible Health Risk	sent:0	lsg sky chefs recalls circle k brand chicken salad sandwich because of possible health risk	[brand|NP][sky|NP][sandwich|NP][recall|VP][possible|ADJP][salad|NP][risk|NP][k|NP][chicken|NP][health|NP][circle|NP][chefs|NP][recalls|VP]
text:La Bella Contadina brand Burrata Nadi con latte di bufala (cheese)  recalled due to Listeria monocytogenes	sent:0	la bella contadina brand burrata nadi con latte di bufala (cheese)  recalled due to listeria monocytogenes	[recall|VP][cheese|NP][brand|NP][burrata|NP][due|ADJP][listeria|NP][listeria monocytogenes|NP][la|NP][latte|NP][con|NP][recalled|VP][contadina|NP][bella|NP][listeria monocytogenes|NP]
text:La Bella Contadina brand Burrata Nadi con latte di bufala (cheese) recalled due to Listeria monocytogenes	sent:0	la bella contadina brand burrata nadi con latte di bufala (cheese) recalled due to listeria monocytogenes	[recall|VP][cheese|NP][brand|NP][burrata|NP][due|ADJP][listeria|NP][listeria monocytogenes|NP][la|NP][latte|NP][con|NP][recalled|VP][contadina|NP][bella|NP][listeria monocytogenes|NP]
text:La Bergerie des Sables brand Chocolate Ice Cream recalled due to undeclared hazelnut	sent:0	la bergerie des sables brand chocolate ice cream recalled due to undeclared hazelnut	[recall|VP][cream|NP][brand|NP][sables|NP][due|ADJP][des|NP][sable|NP][recalled|VP][chocolate|NP][undeclared|ADJP][hazelnut|NP][ice|NP]
text:La Bodega Meat LLC Recalls Beef Products Distributed Without Benefit of Import Re-Inspection	sent:0	la bodega meat llc recalls beef products distributed without benefit of import re-inspection	[recall|VP][import|NP][beef products|NP][benefit|NP][llc|NP][beef|NP][meat|NP][distribute|VP][products|NP][distributed|VP][bodega|NP][product|NP][beef products|NP][recalls|VP]
text:La Boulangere recalls Brioche Hot-Dog Buns due to undeclared allergens	sent:0	la boulangere recalls brioche hot-dog buns due to undeclared allergens	[due|ADJP][buns|NP][recall|VP][recalls|VP][bun|NP][allergens|NP][brioche|ADJP][undeclared|ADJP]
text:La Famiglia Kitchen Stone Baked Sourdough Garlic	sent:0	la famiglia kitchen stone baked sourdough garlic	[garlic|NP][baked|ADJP][stone|NP][kitchen|NP][sourdough|NP]
text:La Famiglia Traditional Garlic Bread Slices 270 grams	sent:0	la famiglia traditional garlic bread slices 270 grams	[bread slices|NP][bread slice|NP][slice|NP][slices|NP][garlic|ADJP][grams|NP][bread|NP][traditional|ADJP]
text:La Fiesta Food Products Recalls Saladitos Salted Plums with Chili Because of Possible Health Risk	sent:0	la fiesta food products recalls saladitos salted plums with chili because of possible health risk	[plum|NP][salt|ADJP][salted|ADJP][recall|VP][possible|ADJP][chili|NP][fiesta|NP][risk|NP][products|NP][plums|NP][product|NP][food|NP][health|NP][recalls|VP]
text:La Golosa di Puglia brand Burrata with Buffalo Milk (cheese) recalled due to generic E. coli	sent:0	la golosa di puglia brand burrata with buffalo milk (cheese) recalled due to generic e. coli	[recall|VP][cheese|NP][brand|NP][burrata|NP][buffalo|ADJP][due|ADJP][milk|NP][puglia|NP][recalled|VP][generic|ADJP][di|NP]
text:La Guadalupana Wholesale Co., Inc. Recalls Pork and Chicken Products Due To Misbranding and an Undeclared Allergen	sent:0	la guadalupana wholesale co., inc. recalls pork and chicken products due to misbranding and an undeclared allergen	[pork|NP][due|ADJP][recall|VP][allergen|NP][recalls|VP][products|NP][wholesale|ADJP][misbranding|NP][chicken|NP][product|NP][undeclared|ADJP]
text:La Nica Products, Inc. Recalls Cheese Because of Possible Health Risk	sent:0	la nica products, inc. recalls cheese because of possible health risk	[cheese|NP][recall|VP][possible|ADJP][recalls|VP][risk|NP][products|NP][product|NP][nica|NP][health|NP]
text:La Pasta Inc/Heinen’s. Issues Allergy Alert on Undeclared Milk in Product Heinen’s Potato Gnocchi UPC# 02060141062	sent:0	la pasta inc/heinen’s. issues allergy alert on undeclared milk in product heinen’s potato gnocchi upc# 02060141062	[issues|NP][product|NP][allergy|NP][milk|NP][potato|NP][gnocchi|NP][upc|NP][alert|NP][pasta|NP][issue|NP][undeclared|ADJP][heinen|NP]
text:La Quercia Recalls Dried Pork Products Due To Insufficient Dehydration	sent:0	la quercia recalls dried pork products due to insufficient dehydration	[pork|NP][recall|VP][due|ADJP][insufficient|ADJP][products|NP][dry|ADJP][dried|ADJP][dehydration|NP][product|NP][recalls|VP]
text:La Rosita Fresh Market Inc. Recalls Ground Beef Products due to Possible E. coli O157:H7 Contamination	sent:0	la rosita fresh market inc. recalls ground beef products due to possible e. coli o157:h7 contamination	[rosita|ADJP][recall|VP][due|ADJP][possible|ADJP][beef|NP][market|NP][products|NP][contamination|NP][product|NP][fresh|ADJP][recalls|VP]
text:La Terra Fina Recalls 10 oz. Spinach Artichoke & Parmesan Dip & Spread Due to Mislabeling and Undeclared Allergen	sent:0	la terra fina recalls 10 oz. spinach artichoke & parmesan dip & spread due to mislabeling and undeclared allergen	[recalls|VP][recall|VP][terra|NP][due|ADJP][oz|NP][allergen|NP][parmesan|NP][dip|NP][spinach|NP][undeclared|ADJP][artichoke|NP][fina|NP][spread|NP]
text:La Tosca—Sugodoro bolognese Sauce with beef	sent:0	la tosca—sugodoro bolognese sauce with beef	[beef|NP][tosca|NP][bolognese|NP][sauce|NP]
text:Labrada Nutrition Issues Allergy Alert on Undeclared Egg in "Leanpro8" Protein Powder	sent:0	labrada nutrition issues allergy alert on undeclared egg in "leanpro8" protein powder	[issues|NP][nutrition|NP][allergy|NP][egg|NP][alert|NP][labrada|NP][powder|NP][issue|NP][protein|NP][undeclared|ADJP]
text:Lactalis Australia Milks	sent:0	lactalis australia milks	[milk|NP][milks|NP][australia|NP]
text:Lactalis McLelland Ltd recalls President Mini Cheese Selection because of undeclared nuts	sent:0	lactalis mclelland ltd recalls president mini cheese selection because of undeclared nuts	[recall|VP][selection|NP][nuts|NP][cheese|NP][president|NP][ltd|NP][undeclared|ADJP][mini|NP][recalls|VP]
text:Lactalis McLelland recalls Galloway Coloured Medium Grated Cheddar because of possible contamination with Listeria monocytogenes	sent:0	lactalis mclelland recalls galloway coloured medium grated cheddar because of possible contamination with listeria monocytogenes	[listeria|NP][recall|VP][listeria monocytogenes|NP][possible|ADJP][galloway|ADJP][contamination|NP][grated|ADJP][coloured|VP][colour|VP][grate|ADJP][medium|NP][cheddar|NP][listeria monocytogenes|NP][recalls|VP]
text:Lactalis Nestlé Chilled Dairy UK recalls Nescafé Shakissimo Espresso Latte because of contamination with cleaning solution	sent:0	lactalis nestlé chilled dairy uk recalls nescafé shakissimo espresso latte because of contamination with cleaning solution	[uk|NP][recalls|VP][recall|VP][cleaning|VP][espresso|NP][contamination|NP][chilled|ADJP][solution|NP][latte|NP][clean|VP][chill|ADJP][nestlé|VP][cleaning solution|VP][dairy|NP]
text:Lactalis UK recalls Seriously Melting Pot because the glass pot may break when heated	sent:0	lactalis uk recalls seriously melting pot because the glass pot may break when heated	[uk|NP][melting|VP][recalls|VP][recall|VP][heated|ADJP][pot|NP][melt|VP][break|VP]
text:Lactose Free Whole Milk Powder	sent:0	lactose free whole milk powder	[lactose|VP][powder|NP][milk|NP][whole|ADJP][free|ADJP][milk powder|NP]
text:Ladyfingers Gourmet to Go Voluntarily Recalls Signature Shaved Country Ham Rolls Due to Possible Health Risk	sent:0	ladyfingers gourmet to go voluntarily recalls signature shaved country ham rolls due to possible health risk	[shave|VP][recall|VP][due|ADJP][shaved|VP][gourmet|VP][possible|ADJP][risk|NP][country ham|NP][signature|NP][rolls|VP][go|VP][country ham|NP][ham|NP][roll|VP][health|NP][country|NP][recalls|VP]
text:Lafleur  brand Original Wieners recalled due to Listeria  monocytogenes	sent:0	lafleur  brand original wieners recalled due to listeria  monocytogenes	[recall|VP][listeria|NP][brand|NP][listeria monocytogenes|NP][due|ADJP][original|ADJP][recalled|VP][lafleur|NP][listeria monocytogenes|NP]
text:Lake Champlain Chocolates Voluntarily Recalls Mr. Goodtime Bunny With Best By Date 11/20/2021 for Undeclared Almonds	sent:0	lake champlain chocolates voluntarily recalls mr. goodtime bunny with best by date 11/20/2021 for undeclared almonds	[date|NP][recalls|VP][recall|VP][champlain|NP][lake|NP][bunny|NP][almonds|NP][almond|NP][chocolates|NP][undeclared|ADJP][chocolate|NP]
